MET1,MET2,MET3,MET4,MET5,MET6,IND_SR,COMM_VAL,ITQ,COLL_SHARE
0,0,1,0,0,0,59.28587186530727,55.18321065201047,1,0.08024575023311001
0,0,1,0,0,0,61.43945251957068,121.79938616011198,1,0.17026532267258945
0,1,0,0,0,0,59.76197085688325,49.47611632602499,0,0.24610191659521993
0,0,0,0,1,0,58.12529096359452,169.390655675991,0,0.3033202916087293
0,0,0,1,0,0,62.93926971630036,115.06175376007123,1,0.23864198338066184
0,0,1,0,0,0,53.14085754828509,80.44596195775968,0,0.15189042143965303
0,0,1,0,0,0,53.07672254324807,61.07578787096309,1,0.14911987527627316
0,0,0,1,0,0,45.376157525510536,196.54655539962877,0,0.3967523062094978
0,0,1,0,0,0,51.43757229817207,94.21902267907794,1,0.22931089838070393
0,0,1,0,0,0,48.39892092085462,96.36753978026144,1,0.10654240845486272
0,0,0,1,0,0,45.60142928349924,105.7299712289907,0,0.23600817244516473
0,1,0,0,0,0,90.51478718832865,103.10412024007036,0,0.0854647978583273
0,0,0,0,1,0,40.660926524698546,60.576802113463444,1,0.1711225132780016
0,0,0,0,0,1,46.4725131779379,67.82339700665293,0,0.31995579146542086
1,0,0,0,0,0,72.94746653686465,151.659297455466,0,0.24001753713398488
0,0,0,0,0,1,27.329269746640545,57.43941456456631,1,0.2548974854350205
0,0,1,0,0,0,54.05098050316739,152.03486864655878,0,0.1932541265686148
0,0,1,0,0,0,42.22908708071151,88.29466601216697,1,0.25639835382898885
0,0,0,0,1,0,69.16003674672106,220.44752525518876,0,0.2982756030407333
0,0,0,0,1,0,62.33542520746762,46.06731533363521,0,0.320407070340409
0,0,1,0,0,0,65.29517765698625,100.13191157987656,0,0.20735765153570238
1,0,0,0,0,0,39.143809532770845,125.75508461935975,0,0.17928814754230774
0,0,0,0,1,0,47.089041941707954,95.67167897636872,0,0.37805108844123675
0,0,1,0,0,0,76.75517835151588,52.26985295300224,0,0.2565561076586686
0,0,0,0,1,0,52.011725252255246,66.2537755067097,1,0.2891545698768016
0,1,0,0,0,0,44.51509197538428,135.98293741859692,0,0.2794655386061475
0,0,1,0,0,0,50.88361879107549,104.39646441509267,0,0.2770828124990826
1,0,0,0,0,0,68.99146355612959,89.17919534853621,0,0.1901953207617479
0,0,1,0,0,0,35.47150007055475,114.39002262167519,1,0.14305420002672176
0,0,1,0,0,0,55.77919615787648,91.07859061728682,0,0.15588175418274292
1,0,0,0,0,0,71.42518717219355,257.52136114241137,0,0.25467752017555373
1,0,0,0,0,0,63.18719951530212,75.14081223132094,1,0.19012378833994642
0,1,0,0,0,0,82.87933596949183,66.73275416793494,0,0.16270418662248803
0,0,1,0,0,0,58.27712014619247,79.91425780223298,0,0.2537864677347451
0,0,0,0,0,1,68.08922647367868,19.58236422841752,0,0.36468678118856196
0,0,0,0,1,0,64.47217987671927,85.47953732365742,1,0.21699047639242958
0,0,1,0,0,0,44.42200427145379,85.72874027778077,1,0.14395040847388713
0,0,0,0,0,1,62.86525888136837,89.02810639013148,0,0.3149520700033498
0,0,0,0,1,0,48.32099035089835,55.336575329407516,1,0.2920596189772018
1,0,0,0,0,0,65.21018327870847,36.77883125245587,0,0.12762075366425465
0,0,0,0,1,0,34.8290806219678,185.79636808648277,1,0.3201556401599017
0,0,0,1,0,0,52.78150339691516,93.78229716741768,1,0.14987508085126064
